16 Feb 2023 | 06:32:56,112 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 113, Type: DEFAULT, Logged: No, IP: 203.200.25.244:57386 } on Server port: 9933 <---> 57386
16 Feb 2023 | 06:32:56,720 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#106, Id: 106, Priv: 0, Sess: 203.200.25.244:57386 ) , Type: Unity / .Net
16 Feb 2023 | 06:33:02,602 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 113, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:57386 }
16 Feb 2023 | 06:33:02,602 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#106, Id: 106, Priv: 0, Sess: 203.200.25.244:57386 ) , SessionLen: 5882, Type: Unity / .Net
16 Feb 2023 | 06:33:02,602 | INFO  | SFSWorker:Ext:2 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:33:25,368 | INFO  | http-nio-8080-exec-2 | Extensions |     | {BackendExtension}: Himanshu -- inside handleInternalMessage 
16 Feb 2023 | 06:33:37,369 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 114, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58912 } on Server port: 9933 <---> 58912
16 Feb 2023 | 06:33:38,008 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#107, Id: 107, Priv: 0, Sess: 203.200.25.244:58912 ) , Type: Unity / .Net
16 Feb 2023 | 06:35:54,090 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 114, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58912 }
16 Feb 2023 | 06:35:54,090 | INFO  | SFSWorker:Sys:2 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#107, Id: 107, Priv: 0, Sess: 203.200.25.244:58912 ) , SessionLen: 136082, Type: Unity / .Net
16 Feb 2023 | 06:35:54,090 | INFO  | SFSWorker:Ext:4 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:43:08,025 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 115, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58772 } on Server port: 9933 <---> 58772
16 Feb 2023 | 06:43:08,568 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#108, Id: 108, Priv: 0, Sess: 203.200.25.244:58772 ) , Type: Unity / .Net
16 Feb 2023 | 06:43:49,252 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 115, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58772 }
16 Feb 2023 | 06:43:49,252 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#108, Id: 108, Priv: 0, Sess: 203.200.25.244:58772 ) , SessionLen: 40684, Type: Unity / .Net
16 Feb 2023 | 06:43:49,252 | INFO  | SFSWorker:Ext:1 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:46:31,305 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 116, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58802 } on Server port: 9933 <---> 58802
16 Feb 2023 | 06:46:31,775 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#109, Id: 109, Priv: 0, Sess: 203.200.25.244:58802 ) , Type: Unity / .Net
16 Feb 2023 | 06:47:41,321 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 116, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58802 }
16 Feb 2023 | 06:47:41,321 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#109, Id: 109, Priv: 0, Sess: 203.200.25.244:58802 ) , SessionLen: 69546, Type: Unity / .Net
16 Feb 2023 | 06:47:41,321 | INFO  | SFSWorker:Ext:3 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:48:17,194 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 117, Type: DEFAULT, Logged: No, IP: 203.200.25.244:50372 } on Server port: 9933 <---> 50372
16 Feb 2023 | 06:48:17,756 | INFO  | SFSWorker:Sys:2 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#110, Id: 110, Priv: 0, Sess: 203.200.25.244:50372 ) , Type: Unity / .Net
16 Feb 2023 | 06:48:27,367 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 117, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:50372 }
16 Feb 2023 | 06:48:27,367 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#110, Id: 110, Priv: 0, Sess: 203.200.25.244:50372 ) , SessionLen: 9611, Type: Unity / .Net
16 Feb 2023 | 06:48:27,367 | INFO  | SFSWorker:Ext:2 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:48:43,417 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 118, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58823 } on Server port: 9933 <---> 58823
16 Feb 2023 | 06:48:44,015 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#111, Id: 111, Priv: 0, Sess: 203.200.25.244:58823 ) , Type: Unity / .Net
16 Feb 2023 | 06:50:54,198 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 118, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58823 }
16 Feb 2023 | 06:50:54,198 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#111, Id: 111, Priv: 0, Sess: 203.200.25.244:58823 ) , SessionLen: 130183, Type: Unity / .Net
16 Feb 2023 | 06:50:54,198 | INFO  | SFSWorker:Ext:1 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:52:55,048 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 119, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58849 } on Server port: 9933 <---> 58849
16 Feb 2023 | 06:52:55,335 | INFO  | SFSWorker:Sys:2 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#112, Id: 112, Priv: 0, Sess: 203.200.25.244:58849 ) , Type: Unity / .Net
16 Feb 2023 | 06:53:07,834 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 119, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58849 }
16 Feb 2023 | 06:53:07,835 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#112, Id: 112, Priv: 0, Sess: 203.200.25.244:58849 ) , SessionLen: 12500, Type: Unity / .Net
16 Feb 2023 | 06:53:07,835 | INFO  | SFSWorker:Ext:3 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:54:28,411 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 120, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58863 } on Server port: 9933 <---> 58863
16 Feb 2023 | 06:54:28,907 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#113, Id: 113, Priv: 0, Sess: 203.200.25.244:58863 ) , Type: Unity / .Net
16 Feb 2023 | 06:54:42,537 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 120, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58863 }
16 Feb 2023 | 06:54:42,537 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#113, Id: 113, Priv: 0, Sess: 203.200.25.244:58863 ) , SessionLen: 13630, Type: Unity / .Net
16 Feb 2023 | 06:54:42,537 | INFO  | SFSWorker:Ext:2 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:54:50,100 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 121, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58877 } on Server port: 9933 <---> 58877
